case_id,transaction_id,amount,trigger_reason,fraud_pattern,anomaly_score,simulated_step_up,customer_id,account_id,device_id,ip_address,is_emulator,is_vpn,is_tor,merchant_category,merchant_risk_tier,expected_action
HHG-011,TXN-HHG-011,7800.00,Multiple Emulated Devices Sharing Single IP Address,Device Farming / Multi-Accounting,0.91,FAILED,CUST-HHG-011,ACC-HHG-011,DEV-EMU-11,185.220.101.33,true,true,true,Gift Cards & Vouchers,HIGH,BLOCK_TRANSACTION
HHG-012,TXN-HHG-012,450.00,Foreign IP Transaction - Customer Geo-Location Mismatch,Account Takeover,0.55,PASSED,CUST-HHG-012,ACC-HHG-012,DEV-TAB-12,92.108.12.5,false,false,false,Travel & Airlines,MEDIUM,ALLOW_TRANSACTION
HHG-013,TXN-HHG-013,12000.00,Business Email Compromise - Invoice Redirect Detected,Business Email Compromise,0.93,FAILED,CUST-HHG-013,ACC-HHG-013,DEV-CORP-13,45.89.67.4,false,true,false,B2B Wire Transfers,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-014,TXN-HHG-014,980.00,Chargeback Ring - Device Shared Across 7 Prior Disputes,Friendly Fraud / Chargeback Ring,0.78,FAILED,CUST-HHG-014,ACC-HHG-014,DEV-FARM-14,194.26.29.44,false,false,false,Luxury Retail,HIGH,BLOCK_TRANSACTION
HHG-015,TXN-HHG-015,55.00,Micro-Transaction Probe Before Large Purchase,Card Testing & Velocity Burst,0.29,PASSED,CUST-HHG-015,ACC-HHG-015,DEV-MOB-15,71.180.33.22,false,false,false,Food & Beverage,LOW,ALLOW_TRANSACTION
HHG-016,TXN-HHG-016,6600.00,Layered Shell Company - 4-Hop Account Chain,Money Mule Pass-Through Syndicate,0.89,FAILED,CUST-HHG-016,ACC-HHG-016,DEV-ANON-16,185.107.80.5,false,true,true,Offshore Remittance,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-017,TXN-HHG-017,1100.00,Anomalous Time-of-Day - 3AM Transaction High-Value,Account Takeover,0.66,FAILED,CUST-HHG-017,ACC-HHG-017,DEV-NEW-17,104.28.100.9,false,false,false,Electronics & Appliances,HIGH,BLOCK_TRANSACTION
HHG-018,TXN-HHG-018,320.00,Known Good Customer - Normal Spending Pattern,Benign Activity,0.09,PASSED,CUST-HHG-018,ACC-HHG-018,DEV-IOS-18,67.125.34.99,false,false,false,Retail Shopping,LOW,ALLOW_TRANSACTION
HHG-019,TXN-HHG-019,5400.00,Darknet Market Merchant Fingerprint Match,Money Laundering,0.96,FAILED,CUST-HHG-019,ACC-HHG-019,DEV-TOR-19,176.10.99.200,true,true,true,Illicit Marketplace,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-020,TXN-HHG-020,2200.00,Mule Account Flagged - Receives Only Never Spends,Money Mule Pass-Through Syndicate,0.82,FAILED,CUST-HHG-020,ACC-HHG-020,DEV-WIN-20,91.240.118.60,false,true,false,Peer-to-Peer Payments,HIGH,BLOCK_TRANSACTION
